Help #,Help Name,
604,"Browse - MIDAS_BEDRAGSOOR",
605,"Browse - MIDAS_BEDRAGEN",
606,"Browse - TICKSIZETABEL_HE",
607,"Browse - TICKSIZETABEL_DE",
608,"Browse - PERFORMANCEOVERZ",
609,"Browse - BI_BATCHSERVERIN",
610,"Browse - BS_BATCHSERVERS",
611,"Browse - CN_CTLNUMMERS",
612,"Browse - PR_PROCESSEN",
613,"Browse - UT_UITSLUITINGEN",
614,"Browse - PI_PROCESINSTELL",
615,"Browse - VP_VERVOLGPROCES",
616,"Browse - BO_BATCHOPDRACHT",
617,"Browse - PM_BATCHOPDRPARM",
618,"Browse - LB_LOGBESTAND",
619,"Browse - MB_MONITORBESTAN",
620,"Browse - REMOTE_JOBS",
621,"Browse - IF_INSTELLINGEN",
622,"Browse - IF_MARKETMATCHRE",
623,"Browse - IF_CLEARINGACCOU",
624,"Browse - VERVANG_STRING",
625,"Browse - IF_INTERFACEHEAD",
626,"Browse - ID_INTERFACEDETA",
627,"Browse - SN_SEQUENCE_NUMM",
628,"Browse - QH_QUEUEHEADER",
629,"Browse - SV_STATUSVERLOOP",
630,"Browse - BA_BATCHAANTAL",
631,"Browse - FT_FOUTBESTAND",
632,"Browse - OD_ORGINEELDETAI",
633,"Browse - FC_FOUTMELDINGEN",
634,"Browse - EQI_TRANSACTIES",
635,"Browse - EQI_RELATIES",
636,"Browse - EQI_NAWGEGEVENS",
637,"Browse - EQI_DEELTRANSACT",
638,"Browse - EQI_REKENINGEN",
639,"Browse - EQI_OMCODERINGTA",
640,"Browse - EQO_TRANSACTIES",
641,"Browse - EQO_GROOTBOEKMUT",
642,"Browse - EQI_BELEGGINGSIN",
643,"Browse - EQI_LENDING_VALU",
644,"Browse - EQO_LENDING_VALU",
645,"Browse - EQO_CUSTOMER_POR",
646,"Browse - EQI_GELDSALDO",
647,"Browse - EQO_GELDSALDO",
648,"Browse - EQO_REKENINGEN",
649,"Browse - EQO_CLIENTEN",
650,"Browse - EQI_KOERSEN",
